ticker,options_volume,options_volume_call,options_volume_put,volume_put_call_ratio,open_interest,open_interest_call,open_interest_put,open_interest_put_call_ratio,iv_rank,implied_volatility_30d,,,,
SHOP,45928,17755,28173,1.586764292,541555,274589,266966,0.972238509,21.67386185,47.06857143,,,,
BP,45424,34106,11318,0.331847769,610586,379927,230659,0.607113998,29.19225159,29.45285714,,,,
EOSE,44938,42411,2527,0.059583599,752720,621595,131125,0.210949252,11.48339513,83.25714286,,,,
SNOW,43898,26957,16941,0.628445302,490850,268638,222212,0.827180071,52.77973258,59.05285714,,ERR,ERR,ERR
BMY,43638,25528,18110,0.709417111,478332,266982,211350,0.791626402,28.66272377,30.02571429,,,,
MRK,43331,23631,19700,0.833650713,670860,362042,308818,0.852989432,54.19566107,35.89571429,,ERR,ERR,ERR
TMC,43280,30647,12633,0.412210004,171194,105171,66023,0.627768111,22.62920429,119.4278397,,,,
APP,41370,25802,15568,0.60336408,280121,169920,110201,0.648546375,33.6683838,73.05285714,,ERR,ERR,ERR
OXY,40771,19288,21483,1.113801327,980829,558398,422431,0.756505217,23.94442867,33.29285714,,,,
QCOM,39924,29353,10571,0.360133547,528209,257339,270870,1.052580448,15.64611486,32.14,,,,
CVNA,39040,17473,21567,1.234304355,366375,182330,184045,1.009406022,10.86771028,51.29142857,,,,
UPS,38030,12861,25169,1.957001788,383896,232213,151683,0.653206324,16.70257993,26.62428571,,,,
LLY,37871,25161,12710,0.505146854,380590,231912,148678,0.641096623,33.43407246,36.52571429,,ERR,ERR,ERR
SBUX,36492,18439,18053,0.97906611,598638,329377,269261,0.817485738,20.77561482,29.41714286,,,,
CAVA,35942,24369,11573,0.474906644,177663,108030,69633,0.644570953,18.85525622,50.37857143,,,,
KO,35763,21703,14060,0.647836705,660679,383144,277535,0.72436212,30.27402265,16.97857143,,ERR,ERR,ERR
BBAI,34795,25646,9149,0.356741792,541637,424593,117044,0.275661634,32.17755303,118.4514286,,ERR,ERR,ERR
BILI,34552,18782,15770,0.839633692,358335,235147,123188,0.523876554,16.08943446,63.36,,,,
MSTX,33884,24346,9538,0.391768668,134742,87747,46995,0.535573866,21.63237376,138.6085714,,,,
PEP,33055,23403,9652,0.412425757,349085,199363,149722,0.751001941,32.38743852,21.83714286,,ERR,ERR,ERR
XPEV,32999,24329,8670,0.356364832,480025,238046,241979,1.016522017,12.78085314,67.32,,,,
IONQ,32856,22856,10000,0.437521876,394069,206923,187146,0.904423385,37.64981093,91.04857143,,ERR,ERR,ERR
